Header|Theme|Variables
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|LOCNACE - ECONOMIC ACTIVITY OF THE LOCAL UNIT
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|LOCSIZEFIRM - NUMBER OF PERSONS WORKING AT THE LOCAL UNIT
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|JOBTIME - YEAR IN WHICH PERSON STARTED WORKING IN HIS/HER CURRENT MAIN JOB
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|Hatfather4 - Highest successfully completed school education of the father (national structure)
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|HATFATHER - EDUCATIONAL ATTAINMENT LEVEL - FATHER (MALE GUARDIAN)
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|Hatmother4 - The mother's highest successfully completed school education (national structure)
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|HATMOTHER - EDUCATIONAL ATTAINMENT LEVEL - MOTHER (FEMALE GUARDIAN)
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|BIRTHFATHER - COUNTRY OF BIRTH OF THE FATHER
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|BIRTHMOTHER - COUNTRY OF BIRTH OF THE MOTHER
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|SEEKINFO - LOOKED FOR ANY INFORMATION CONCERNING LEARNING POSSIBILITIES IN THE LAST 12 MONTHS (FORMAL AND NON-FORMAL EDUCATION AND TRAINING)
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|GUIDEINST - INFORMATION OR ADVICE/HELP ON LEARNING POSSIBILITIES RECEIVED FROM INSTITUTIONS/ORGANISATION S IN THE LAST 12 MONTHS
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|GUIDEINST_1 - YES, I RECEIVED FREE OF CHARGE INFORMATION OR ADVICE/HELP ON LEARNING OPPORTUNITIES FROM INSTITUTIONS/ORGANISATION S
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|GUIDEINST_2 - YES, I PAID FOR INFORMATION OR ADVICE/HELP ON LEARNING OPPORTUNITIES FROM INSTITUTIONS/ORGANISATION S
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|GUIDEINST_3 - NO, I DID NOT RECEIVE ANY INFORMATION OR ADVICE/HELP ON LEARNING OPPORTUNITIES FROM INSTITUTIONS/ORGANISATION S
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|GUIDESOURCE - SOURCE OF FREE OF CHARGE INFORMATION OR ADVICE/HELP ON LEARNING POSSIBILITIES RECEIVED IN THE LAST 12 MONTHS
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|GUIDESOURCE_1 - FROM EDUCATION OR TRAINING INSTITUTIONS (SCHOOL, COLLEGE, UNIVERSITY, VET CENTRE, INSTITUTION FOR ADULT LEARNING, VALIDATION CENTRE)
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|GUIDESOURCE_2 - FROM EMPLOYMENT SERVICES
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|GUIDESOURCE_3 - FROM EMPLOYER OR EMPLOYER ORGANISATIONS
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|GUIDESOURCE_4 - FROM TRADE UNIONS OR WORK COUNCIL
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|GUIDESOURCE_5 - FROM OTHER INSTITUTIONS/ORGANISATION S PROVIDING FREE INFORMATION OR ADVICE/HELP ON LEARNING OPPORTUNITIES
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|GUIDETYPE - TYPE OF FREE INFORMATION OR ADVICE/HELP ON LEARNING POSSIBILITIES RECEIVED IN THE LAST 12 MONTHS
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|GUIDETYPE_1 - INFORMATION OR ADVICE/HELP ON LEARNING POSSIBILITIES
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|GUIDETYPE_2 - ASSESSMENT OF SKILLS AND COMPETENCES THROUGH TESTS, SKILLS AUDITS OR INTERVIEWS
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|GUIDETYPE_3 - INFORMATION OR ADVICE/HELP ON PROCEDURE FOR VALIDATION/RECOGNITION OF SKILLS, COMPETENCES OR PRIOR LEARNING
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|GUIDETYPE_4 - OTHER TYPE OF INFORMATION OR ADVICE/HELP
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|GUIDEMODE - MODE OF DELIVERY OF FREE INFORMATION OR ADVICE/HELP ON LEARNING POSSIBILITIES RECEIVED IN THE LAST 12 MONTHS
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|GUIDEMODE_1 - FACE TO FACE INTERACTION
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|GUIDEMODE_2 - INTERACTION WITH A PERSON THROUGH INTERNET, PHONE, E-MAIL OR ANY OTHER MEDIA
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|GUIDEMODE_3 - INTERACTION WITH A COMPUTER BASED APPLICATION FOR INFORMATION OR ADVICE/HELP (INCLUDING ON LINE SELF-ASSESSMENT TOOLS)
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|GUIDEMODE_4 - NO INTERACTION, ONLY INFORMATION THROUGH DEDICATED MATERIAL (BOOKS, POSTERS, WEBSITES, LEAFLET, TV PROGRAMME, ETC.)
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|FED - PARTICIPATION IN FORMAL EDUCATION DURING THE LAST 12 MONTHS
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|FEDNUM - NUMBER OF FORMAL EDUCATION ACTIVITIES PARTICIPATED IN DURING THE LAST 12 MONTHS
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|FEDLEVEL - LEVEL OF THE MOST RECENT FORMAL EDUCATION ACTIVITY
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|FEDFIELD - FIELD OF THE MOST RECENT FORMAL EDUCATION ACTIVITY
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|FEDVOC - ORIENTATION OF THE MOST RECENT FORMAL EDUCATION ACTIVITY
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|FEDSTARTYEAR - YEAR WHEN THE MOST RECENT FORMAL EDUCATION ACTIVITY STARTED
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|FEDSTARTMONTH - MONTH WHEN THE MOST RECENT FORMAL EDUCATION ACTIVITY STARTED
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|FEDCOMP - COMPLETION OF THE MOST RECENT FORMAL EDUCATION ACTIVITY
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|FEDDIST - MOST RECENT FORMAL EDUCATION ACTIVITY ORGANISED AS DISTANCE LEARNING
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|FEDDISTOL - DISTANCE LEARNING ORGANISED AS AN ONLINE COURSE
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|FEDOERA - USE OF ONLINE EDUCATIONAL RESOURCES FOR THE MOST RECENT FORMAL EDUCATION ACTIVITY
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|FEDOERB - INTERACTION WITH OTHER PEOPLE (E.G. TEACHERS, LEARNERS) THROUGH EDUCATIONAL WEBSITES/PORTALS FOR THE MOST RECENT FORMAL EDUCATION ACTIVITY
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|FEDREASON - REASONS FOR PARTICIPATING IN THE MOST RECENT FORMAL EDUCATION ACTIVITY
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|FEDREASON_01a - TO DO MY JOB BETTER
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|FEDREASON_01b - TO IMPROVE MY CAREER PROSPECTS
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|FEDREASON_02 - TO BE LESS LIKELY TO LOSE MY JOB
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|FEDREASON_03 - TO INCREASE MY POSSIBILITIES OF GETTING A JOB, OR CHANGING A JOB/PROFESSION
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|FEDREASON_04 - TO START MY OWN BUSINESS
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|FEDREASON_05 - I WAS OBLIGED TO PARTICIPATE
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|FEDREASON_06 - TO GET KNOWLEDGE/SKILLS USEFUL IN MY EVERYDAY LIFE
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|FEDREASON_07 - TO INCREASE MY KNOWLEDGE/SKILLS ON A SUBJECT THAT INTERESTS ME
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|FEDREASON_08 - OBTAIN CERTIFICATE
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|FEDREASON_09 - TO MEET NEW PEOPLE/FOR FUN
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|FEDWORKTIME - MOST RECENT FORMAL EDUCATION ACTIVITY DURING PAID WORKING HOURS (INCLUDING PAID LEAVE OR RECUPERATION)
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|FEDNBHOURS - TOTAL NUMBER OF INSTRUCTION HOURS OF THE MOST RECENT FORMAL EDUCATION ACTIVITY
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|FEDPAID - PAYMENT FOR THE TUITION, REGISTRATION, EXAM FEES, EXPENSES FOR BOOKS OR TECHNICAL STUDY MEANS FOR THE MOST RECENT FORMAL EDUCATION ACTIVITY
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|FEDPAIDBY - Partial or full payment for the tuition, registration, exam fees, expenses for books or technical study means for the most recent formal education activity by:
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|FEDPAIDBY_1 - EMPLOYER OR PROSPECTIVE EMPLOYER
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|FEDPAIDBY_2 - PUBLIC EMPLOYMENT SERVICES
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|FEDPAIDBY_3 - OTHER PUBLIC INSTITUTIONS
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|FEDPAIDBY_4 - A HOUSEHOLD MEMBER OR A RELATIVE
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|FEDUSEA - CURRENT USE OF THE SKILLS OR KNOWLEDGE ACQUIRED FROM THE MOST RECENT FORMAL EDUCATION ACTIVITY
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|FEDUSEB - EXPECTED USE OF THE SKILLS OR KNOWLEDGE ACQUIRED FROM THE MOST RECENT FORMAL EDUCATION ACTIVITY
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|FEDOUTCOME - OUTCOMES OF THE NEW SKILLS/KNOWLEDGE ACQUIRED THROUGH THE MOST RECENT FORMAL EDUCATION ACTIVITY
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|FEDOUTCOME_1 - GETTING A (NEW) JOB
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|FEDOUTCOME_2 - PROMOTION IN THE JOB
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|FEDOUTCOME_3 - HIGHER SALARY/WAGES
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|FEDOUTCOME_4 - NEW TASKS
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|FEDOUTCOME_5 - BETTER PERFORMANCE IN THE JOB
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|FEDOUTCOME_6 - PERSONAL-RELATED REASONS (MEET OTHER PEOPLE, REFRESH YOUR SKILLS IN GENERAL SUBJECTS ETC.)
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|FEDOUTCOME_7 - NO OUTCOMES YET
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFECOURSE - a. COURSES
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFEWORKSHOP - b. WORKSHOPS AND SEMINARS
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFEGUIDEDJT - c. GUIDED-ON-THE-JOB TRAINING
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFELESSON - d. PRIVATE LESSONS
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFENUM - NUMBER OF NON-FORMAL EDUCATION AND TRAINING ACTIVITIES DURING THE LAST 12 MONTHS
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFEACT01_TYPE - 01_TYPE OF THE ACTIVITY (COURSES, WORKSHOPS AND SEMINARS, GUIDED-ON-THE-JOB TRAINING, PRIVATE LESSONS)
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFEACT01_PURP - 01_PURPOSE OF THE ACTIVITY (JOB RELATED/NON-JOB RELATED)
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFEACT01_WORKT IME - 01_THE LEARNING ACTIVITY TOOK PLACE FULLY OR MOSTLY DURING PAID WORKING HOURS (INCLUDING PAID LEAVE AND RECUPERATION)
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFEACT01_PAIDBY - 01_THE LEARNING ACTIVITY WAS PARTIALLY OR FULLY PAID BY THE EMPLOYER
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFEACT02_TYPE - 02_TYPE OF THE ACTIVITY (COURSES, WORKSHOPS AND SEMINARS, GUIDED-ON-THE-JOB TRAINING, PRIVATE LESSONS)
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFEACT02_PURP - 02_PURPOSE OF THE ACTIVITY
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFEACT02_WORKT IME - 02_THE LEARNING ACTIVITY TOOK PLACE FULLY OR MOSTLY DURING PAID WORKING HOURS (INCLUDING PAID LEAVE AND RECUPERATION)
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFEACT02_PAIDBY - 02_THE LEARNING ACTIVITY WAS PARTIALLY OR FULLY PAID BY THE EMPLOYER
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFEACT03_TYPE - 03_TYPE OF THE ACTIVITY (COURSES, WORKSHOPS AND SEMINARS, GUIDED-ON-THE-JOB TRAINING, PRIVATE LESSONS)
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFEACT03_PURP - 03_PURPOSE OF THE ACTIVITY
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFEACT03_WORKT IME - 03_THE LEARNING ACTIVITY TOOK PLACE FULLY OR MOSTLY DURING PAID WORKING HOURS (INCLUDING PAID LEAVE AND RECUPERATION)
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFEACT03_PAIDBY - 03_THE LEARNING ACTIVITY WAS PARTIALLY OR FULLY PAID BY THE EMPLOYER
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFEACT04_TYPE - 04_TYPE OF THE ACTIVITY (COURSES, WORKSHOPS AND SEMINARS, GUIDED-ON-THE-JOB TRAINING, PRIVATE LESSONS)
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFEACT04_PURP - 04_PURPOSE OF THE ACTIVITY
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFEACT04_WORKT IME - 04_THE LEARNING ACTIVITY TOOK PLACE FULLY OR MOSTLY DURING PAID WORKING HOURS (INCLUDING PAID LEAVE AND RECUPERATION)
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFEACT04_PAIDBY - 04_THE LEARNING ACTIVITY WAS PARTIALLY OR FULLY PAID BY THE EMPLOYER
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFEACT05_TYPE - 05_TYPE OF THE ACTIVITY (COURSES, WORKSHOPS AND SEMINARS, GUIDED-ON-THE-JOB TRAINING, PRIVATE LESSONS)
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFEACT05_PURP - 05_PURPOSE OF THE ACTIVITY
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFEACT05_WORKT IME - 05_THE LEARNING ACTIVITY TOOK PLACE FULLY OR MOSTLY DURING PAID WORKING HOURS (INCLUDING PAID LEAVE AND RECUPERATION)
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFEACT05_PAIDBY - 05_THE LEARNING ACTIVITY WAS PARTIALLY OR FULLY PAID BY THE EMPLOYER
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFEACT06_TYPE - 06_TYPE OF THE ACTIVITY (COURSES, WORKSHOPS AND SEMINARS, GUIDED-ON-THE-JOB TRAINING, PRIVATE LESSONS)
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFEACT06_PURP - 06_PURPOSE OF THE ACTIVITY
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFEACT06_WORKT IME - 06_THE LEARNING ACTIVITY TOOK PLACE FULLY OR MOSTLY DURING PAID WORKING HOURS (INCLUDING PAID LEAVE AND RECUPERATION)
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFEACT06_PAIDBY - 06_THE LEARNING ACTIVITY WAS PARTIALLY OR FULLY PAID BY THE EMPLOYER
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFEACT07_TYPE - 07_TYPE OF THE ACTIVITY (COURSES, WORKSHOPS AND SEMINARS, GUIDED-ON-THE-JOB TRAINING, PRIVATE LESSONS)
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFEACT07_PURP - 07_PURPOSE OF THE ACTIVITY
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFEACT07_WORKT IME - 07_THE LEARNING ACTIVITY TOOK PLACE FULLY OR MOSTLY DURING PAID WORKING HOURS (INCLUDING PAID LEAVE AND RECUPERATION)
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFEACT07_PAIDBY - 07_THE LEARNING ACTIVITY WAS PARTIALLY OR FULLY PAID BY THE EMPLOYER
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFERAND1 - CODE OF THE 1ST RANDOMLY SELECTED ACTIVITY
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFERAND1_TYPE - TYPE OF THE 1ST ACTIVITY
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFEFIELD1 - FIELD OF THE 1ST ACTIVITY
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFEDIST1 - 1ST_ACTIVITY ORGANISED AS DISTANCE LEARNING
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFEDISTOL1 - DISTANCE LEARNING FOR THE 1ST ACTIVITY ORGANISED AS AN ONLINE COURSE
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFEOERA1 - USE OF ONLINE EDUCATIONAL RESOURCES FOR THE 1ST ACTIVITY
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFEOERB1 - INTERACTION WITH OTHER PEOPLE (E.G. TEACHERS, LEARNERS) THROUGH EDUCATIONAL WEBSITES/PORTALS FOR THE 1ST ACTIVITY
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFEREASON1 - REASONS FOR PARTICIPATING IN THE 1ST ACTIVITY
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFEREASON1_01a - TO DO MY JOB BETTER (1ST ACTIVITY)
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFEREASON1_01b - TO IMPROVE MY CAREER PROSPECTS (1ST ACTIVITY)
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFEREASON1_02 - TO BE LESS LIKELY TO LOSE MY JOB (1ST ACTIVITY)
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFEREASON1_03 - TO INCREASE MY POSSIBILITIES OF GETTING A JOB, OR CHANGING A JOB/PROFESSION (1ST ACTIVITY)
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFEREASON1_04 - TO START MY OWN BUSINESS (1ST ACTIVITY)
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFEREASON1_13 - BECAUSE OF ORGANISATIONAL AND/OR TECHNOLOGICAL CHANGES AT WORK (1ST ACTIVITY)
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFEREASON1_11 - REQUIRED BY THE EMPLOYER OR BY LAW (1ST ACTIVITY)
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFEREASON1_06 - TO GET KNOWLEDGE/SKILLS USEFUL IN MY EVERYDAY LIFE (1ST ACTIVITY)
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFEREASON1_07 - TO INCREASE MY KNOWLEDGE/SKILLS ON A SUBJECT THAT INTERESTS ME (1ST ACTIVITY)
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFEREASON1_08 - OBTAIN CERTIFICATE (1ST ACTIVITY)
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFEREASON1_09 - TO MEET NEW PEOPLE/FOR FUN (1ST ACTIVITY)
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFEREASON1_10 - FOR HEALTH REASONS (1ST ACTIVITY)
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|NFEREASON1_12 - TO DO VOLUNTARY WORK BETTER (1ST ACTIVITY)
